release_year,type,rating,listed_in1,listed_in2,listed_in3,country1,Cluster
2014,Movie,PG-13,Sci-Fi & Fantasy, Thrillers,0,United States,1
2019,Movie,PG-13,Horror Movies, Thrillers,0,Canada,1
2019,Movie,TV-MA,International Movies, Thrillers,0,Spain,1
2020,Movie,TV-MA,Dramas, International Movies, Thrillers,Spain,0
2015,Movie,NR,Horror Movies, Independent Movies, International Movies,Mexico,0
2013,Movie,TV-14,Dramas, International Movies, Romantic Movies,Indonesia,0
2018,TV Show,TV-MA,Crime TV Shows, TV Dramas, TV Mysteries,United States,3
2018,Movie,TV-MA,Dramas, Independent Movies, International Movies,Spain,0
2019,Movie,TV-MA,Dramas, International Movies,0,India,0
2020,Movie,TV-PG,Action & Adventure, Children & Family Movies, Comedies,United States,1
2011,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2013,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2017,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Ukraine,3
2020,Movie,PG-13,Documentaries,0,0,United States,1
2010,Movie,PG-13,Dramas,0,0,United States,1
2019,TV Show,TV-MA,TV Dramas, Teen TV Shows,0,United States,3
2019,Movie,TV-MA,Dramas, Independent Movies, International Movies,Argentina,0
2016,TV Show,TV-14,International TV Shows, Korean TV Shows, TV Comedies,South Korea,3
2018,TV Show,TV-14,International TV Shows, Korean TV Shows, TV Comedies,South Korea,3
2016,Movie,PG-13,Action & Adventure, Romantic Movies, Sci-Fi & Fantasy,United States,1
2013,Movie,R,Dramas, Independent Movies, Romantic Movies,United States,1
2008,Movie,PG,Children & Family Movies,0,0,United States,1
1978,Movie,TV-MA,Dramas, Independent Movies, International Movies,Poland,2
2019,Movie,TV-Y7,Children & Family Movies, Comedies,0,United States,1
2019,TV Show,TV-MA,International TV Shows, TV Dramas, TV Thrillers,France,3
2010,Movie,PG,Action & Adventure, Children & Family Movies, Comedies,United States,1
2013,Movie,TV-MA,Documentaries, International Movies,0,United Kingdom,0
2005,Movie,R,Comedies, Dramas, Independent Movies,United States,1
2020,Movie,R,Dramas, Independent Movies, Thrillers,United States,1
2018,TV Show,TV-MA,Stand-Up Comedy & Talk Shows, TV Comedies,0,United States,3
2015,Movie,R,Dramas, Independent Movies, Thrillers,United States,1
2016,Movie,TV-14,Dramas,0,0,United Kingdom,1
2017,TV Show,TV-14,Docuseries,0,0,United States,3
2017,TV Show,TV-14,Docuseries,0,0,United States,3
2019,TV Show,TV-MA,International TV Shows, TV Action & Adventure, TV Dramas,Thailand,3
2020,TV Show,TV-MA,Crime TV Shows, TV Dramas, TV Mysteries,United Kingdom,3
2017,Movie,TV-14,Thrillers,0,0,United States,1
2004,Movie,TV-14,Action & Adventure, Comedies, International Movies,Egypt,0
2018,Movie,TV-14,Action & Adventure, Comedies, International Movies,Egypt,0
2017,Movie,R,Horror Movies,0,0,United States,1
1989,TV Show,TV-Y7,Kids' TV,0,0,United States,2
2016,Movie,TV-14,Action & Adventure, Comedies, International Movies,Philippines,0
2016,Movie,R,Action & Adventure, International Movies,0,United Kingdom,0
2009,Movie,R,Action & Adventure,0,0,United States,1
1999,Movie,R,Dramas, Thrillers,0,United States,2
2016,Movie,TV-MA,Dramas, International Movies,0,Argentina,0
1974,Movie,R,Cult Movies, Horror Movies, Independent Movies,United States,2
2014,Movie,PG-13,Dramas, Romantic Movies,0,United Kingdom,1
2013,Movie,TV-14,Dramas, International Movies,0,Egypt,0
2016,Movie,TV-MA,Comedies, Dramas, International Movies,Philippines,0
2016,Movie,TV-14,Comedies, Dramas, Independent Movies,United States,0
2017,Movie,TV-G,Documentaries,0,0,United Kingdom,1
2002,Movie,PG-13,Action & Adventure, Sci-Fi & Fantasy,0,United States,1
2009,Movie,PG-13,Dramas, Romantic Movies, Sci-Fi & Fantasy,United States,1
2018,Movie,TV-MA,Dramas, Sci-Fi & Fantasy, Thrillers,United Kingdom,0
2010,Movie,PG-13,Action & Adventure, Romantic Movies,0,United States,1
2016,TV Show,TV-MA,Crime TV Shows, Docuseries,0,United States,3
2017,Movie,TV-MA,Comedies,0,0,United States,1
2018,Movie,TV-MA,Dramas, Independent Movies, International Movies,Spain,0
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Italy,3
2020,Movie,R,Dramas,0,0,United States,1
2018,Movie,TV-MA,Comedies, International Movies,0,Spain,0
2017,Movie,R,Dramas, Independent Movies, Sports Movies,United States,1
1996,Movie,R,Thrillers,0,0,United States,2
2016,Movie,TV-MA,Comedies,0,0,United Kingdom,1
2015,Movie,R,Thrillers,0,0,United States,1
2016,Movie,TV-14,Documentaries, International Movies,0,United Kingdom,0
2016,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Singapore,3
2010,TV Show,TV-MA,TV Dramas,0,0,Ireland,3
2002,Movie,PG-13,Action & Adventure, Comedies,0,United States,1
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Belgium,3
1963,TV Show,TV-14,Classic & Cult TV, TV Sci-Fi & Fantasy,0,United States,2
2004,Movie,TV-14,Action & Adventure, Comedies, International Movies,Hong Kong,0
2019,Movie,PG-13,Dramas,0,0,United Kingdom,1
2009,Movie,R,Comedies, Romantic Movies,0,United States,1
2009,TV Show,TV-14,International TV Shows, TV Dramas,0,Singapore,3
2011,Movie,TV-MA,Horror Movies, International Movies,0,Thailand,0
2020,TV Show,TV-14,International TV Shows, TV Action & Adventure, TV Dramas,South Korea,3
2020,TV Show,TV-MA,International TV Shows, TV Dramas, Teen TV Shows,Thailand,3
2019,TV Show,TV-14,TV Comedies, TV Dramas,0,United States,3
2009,TV Show,TV-14,Docuseries, Science & Nature TV,0,United States,3
2016,Movie,TV-MA,Dramas, International Movies,0,Belgium,0
2013,Movie,PG-13,Documentaries,0,0,United States,1
2019,TV Show,TV-PG,Kids' TV, TV Thrillers,0,Australia,3
2016,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Philippines,0
2019,TV Show,TV-14,International TV Shows, TV Action & Adventure, TV Mysteries,China,3
2017,Movie,TV-MA,Documentaries, LGBTQ Movies,0,United States,1
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Iceland,3
2017,TV Show,TV-14,TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy,United States,3
2020,Movie,R,Thrillers,0,0,United States,1
2015,Movie,PG-13,Horror Movies, Thrillers,0,United States,1
2017,Movie,TV-MA,Horror Movies, Thrillers,0,United States,1
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Taiwan,3
2016,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2018,TV Show,TV-MA,Classic & Cult TV, TV Action & Adventure, TV Dramas,United States,3
2015,Movie,TV-14,Action & Adventure, Dramas, International Movies,Egypt,0
2019,Movie,TV-MA,International Movies, Sci-Fi & Fantasy,0,China,1
2007,TV Show,TV-14,Docuseries,0,0,United States,3
2018,Movie,TV-MA,International Movies, Thrillers,0,Spain,1
2014,Movie,R,Dramas, International Movies,0,Australia,0
2007,Movie,PG,Children & Family Movies,0,0,New Zealand,1
1998,Movie,PG-13,Comedies, Sports Movies,0,United States,2
2006,Movie,TV-PG,Horror Movies, International Movies,0,Philippines,0
2016,Movie,TV-14,Comedies, Dramas, International Movies,Nigeria,0
2017,Movie,TV-14,Comedies, International Movies, Romantic Movies,Nigeria,0
2018,Movie,TV-14,Comedies,0,0,United States,1
2005,TV Show,TV-14,TV Dramas,0,0,United States,3
2018,TV Show,TV-PG,Kids' TV, TV Comedies,0,United States,3
2015,TV Show,TV-Y,Kids' TV,0,0,Australia,3
2020,Movie,PG,Children & Family Movies, Comedies,0,Canada,1
2020,TV Show,TV-MA,British TV Shows, International TV Shows, TV Comedies,United Kingdom,3
2017,Movie,TV-14,Children & Family Movies, Dramas, Music & Musicals,India,0
2015,Movie,R,Horror Movies, Independent Movies,0,United Kingdom,1
2018,Movie,TV-14,Horror Movies, Thrillers,0,United States,1
2018,Movie,TV-MA,Action & Adventure, International Movies, Sci-Fi & Fantasy,South Korea,0
2019,TV Show,TV-MA,TV Action & Adventure, TV Dramas, TV Mysteries,United States,3
1976,Movie,TV-PG,Comedies, International Movies,0,Egypt,2
2019,Movie,TV-14,Dramas, International Movies, Thrillers,France,0
2010,TV Show,TV-MA,International TV Shows, Romantic TV Shows, TV Comedies,China,3
2016,Movie,TV-PG,Comedies, Dramas, Faith & Spirituality,Israel,0
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Poland,3
2017,Movie,TV-MA,Dramas, International Movies,0,France,0
1999,Movie,PG-13,Action & Adventure,0,0,United Kingdom,2
2018,Movie,TV-MA,Action & Adventure, Comedies, International Movies,France,0
2019,Movie,PG,Dramas, Romantic Movies,0,United States,1
2019,TV Show,TV-G,British TV Shows, Docuseries, International TV Shows,United Kingdom,3
2018,Movie,TV-PG,Documentaries,0,0,United Kingdom,1
2020,TV Show,TV-G,British TV Shows, Kids' TV,0,United Kingdom,3
2016,Movie,TV-MA,International Movies, Sci-Fi & Fantasy, Thrillers,United Arab Emirates,0
2019,TV Show,TV-14,Crime TV Shows, International TV Shows, TV Dramas,Lebanon,3
2017,Movie,TV-14,Thrillers,0,0,Canada,1
2020,Movie,TV-MA,Comedies, Romantic Movies,0,United States,1
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Turkey,3
2009,TV Show,TV-PG,International TV Shows, Romantic TV Shows, TV Comedies,Taiwan,3
2016,Movie,PG-13,Dramas, Faith & Spirituality,0,United States,1
2016,Movie,TV-MA,Comedies, International Movies,0,Ireland,0
1985,Movie,TV-14,Action & Adventure, Comedies, International Movies,Hong Kong,2
2019,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2016,Movie,TV-PG,Documentaries,0,0,Canada,1
2017,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,0
2013,Movie,TV-PG,Comedies, International Movies, Music & Musicals,India,0
1988,Movie,PG-13,Documentaries, Music & Musicals,0,United States,2
2019,Movie,TV-14,Comedies, Dramas, Independent Movies,United States,0
2016,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2007,Movie,R,Dramas, Independent Movies,0,United States,1
2019,Movie,TV-14,Documentaries, International Movies,0,Canada,0
2016,Movie,TV-MA,Comedies, International Movies,0,France,0
2018,TV Show,TV-MA,British TV Shows, Docuseries,0,United Kingdom,3
2018,Movie,TV-MA,Documentaries,0,0,United States,1
2017,Movie,TV-MA,Comedies, Dramas, International Movies,Spain,0
2020,Movie,TV-MA,Stand-Up Comedy,0,0,Brazil,1
2019,TV Show,TV-MA,International TV Shows, TV Action & Adventure, TV Dramas,Belgium,3
2014,TV Show,TV-14,International TV Shows, TV Horror, TV Mysteries,Thailand,3
2019,Movie,TV-14,Dramas, International Movies,0,Indonesia,0
2017,TV Show,TV-14,International TV Shows, TV Dramas,0,Egypt,3
2015,TV Show,TV-14,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2017,Movie,TV-PG,Comedies, International Movies, Romantic Movies,China,0
2015,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2020,TV Show,TV-Y,British TV Shows, Classic & Cult TV, Kids' TV,United Kingdom,3
2017,Movie,TV-MA,Action & Adventure, International Movies, Sports Movies,Thailand,0
2017,Movie,PG-13,Action & Adventure, Comedies, Sci-Fi & Fantasy,United States,1
2011,Movie,TV-Y7,Children & Family Movies,0,0,United States,1
2010,Movie,NR,Dramas, International Movies,0,United Kingdom,0
2010,Movie,NR,Dramas, International Movies,0,United Kingdom,0
2019,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2016,Movie,TV-MA,Action & Adventure, International Movies,0,Hong Kong,0
2019,TV Show,TV-MA,International TV Shows, Spanish-Language TV Shows, TV Dramas,Spain,3
2018,Movie,TV-G,Comedies, Dramas, International Movies,Philippines,0
2018,Movie,TV-MA,Horror Movies,0,0,United States,1
2019,Movie,R,Documentaries, Sports Movies,0,Canada,1
2017,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2017,Movie,TV-MA,Dramas, Thrillers,0,United States,1
1947,Movie,TV-PG,Classic Movies, Documentaries,0,United States,2
2018,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Australia,3
2019,TV Show,TV-PG,Reality TV,0,0,United States,3
2017,TV Show,TV-MA,International TV Shows, Romantic TV Shows, Spanish-Language TV Shows,Spain,3
2017,TV Show,TV-14,Crime TV Shows, International TV Shows, TV Dramas,China,3
2019,TV Show,TV-MA,Stand-Up Comedy & Talk Shows, TV Comedies,0,United States,3
2019,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2015,Movie,TV-14,Documentaries, Stand-Up Comedy,0,United States,1
2018,Movie,TV-14,Stand-Up Comedy,0,0,United States,1
2016,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,0
2020,Movie,PG,Dramas,0,0,United States,1
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Mexico,3
2016,Movie,TV-14,Dramas, International Movies, Thrillers,China,0
2017,Movie,TV-MA,Dramas, International Movies,0,India,0
2019,TV Show,TV-MA,International TV Shows, TV Dramas, TV Thrillers,Taiwan,3
1990,Movie,TV-MA,Stand-Up Comedy,0,0,United States,2
1991,Movie,TV-MA,Stand-Up Comedy,0,0,United States,2
2011,Movie,TV-MA,Music & Musicals, Stand-Up Comedy,0,United Kingdom,1
2008,Movie,TV-MA,Music & Musicals, Stand-Up Comedy,0,United Kingdom,1
2015,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2013,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2018,Movie,TV-MA,Dramas, Independent Movies, International Movies,Mexico,0
2020,Movie,TV-MA,International Movies, Thrillers,0,South Korea,1
2017,Movie,TV-14,Action & Adventure, Sci-Fi & Fantasy,0,United States,1
2010,TV Show,TV-Y,British TV Shows, Kids' TV,0,United Kingdom,3
2016,Movie,G,Children & Family Movies, Music & Musicals,0,Spain,1
2014,Movie,G,Children & Family Movies,0,0,United States,1
2018,Movie,TV-14,Dramas, Independent Movies, Sci-Fi & Fantasy,United States,0
2020,TV Show,TV-PG,Docuseries, Science & Nature TV, TV Action & Adventure,United States,3
2020,TV Show,TV-MA,TV Dramas, TV Mysteries, TV Thrillers,United States,3
2014,TV Show,TV-Y,Kids' TV,0,0,Germany,3
2017,TV Show,TV-MA,International TV Shows, TV Dramas,0,South Africa,3
2018,Movie,TV-14,Comedies, International Movies, Romantic Movies,United States,0
2020,Movie,TV-14,Comedies, Romantic Movies,0,United States,1
2006,Movie,TV-MA,Dramas, Independent Movies, Thrillers,United States,1
2018,Movie,TV-MA,Comedies, International Movies, LGBTQ Movies,France,0
2017,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2020,TV Show,TV-MA,International TV Shows, TV Dramas, TV Mysteries,Russia,3
1995,Movie,PG-13,Comedies, Cult Movies, LGBTQ Movies,United States,2
2015,TV Show,TV-MA,British TV Shows, Classic & Cult TV, TV Comedies,United Kingdom,3
2018,TV Show,TV-Y7,Kids' TV, Korean TV Shows,0,Canada,3
2017,Movie,TV-MA,Comedies, International Movies,0,Spain,0
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2012,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Stand-Up Comedy,0,0,Argentina,1
2016,Movie,TV-MA,Documentaries, International Movies,0,Argentina,0
2009,TV Show,TV-14,International TV Shows, TV Dramas,0,Singapore,3
1999,Movie,TV-G,Dramas, International Movies, Music & Musicals,India,2
2017,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2017,TV Show,TV-MA,International TV Shows, TV Dramas,0,Canada,3
2010,Movie,TV-MA,Dramas, Independent Movies, International Movies,Turkey,0
2011,Movie,TV-14,Stand-Up Comedy,0,0,United States,1
2020,Movie,TV-14,Stand-Up Comedy,0,0,United States,1
2020,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2014,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2016,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
1997,Movie,PG-13,Action & Adventure,0,0,United Kingdom,2
2017,TV Show,TV-14,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2016,TV Show,TV-MA,International TV Shows, Korean TV Shows, TV Action & Adventure,South Korea,3
2020,Movie,TV-14,Documentaries, International Movies, Sports Movies,France,0
2016,Movie,TV-MA,Documentaries,0,0,United States,1
2019,Movie,TV-14,Comedies, Dramas, International Movies,Indonesia,0
2020,TV Show,TV-MA,Reality TV, Romantic TV Shows,0,United States,3
1988,Movie,TV-MA,Dramas,0,0,United States,2
2017,TV Show,TV-MA,International TV Shows, TV Comedies,0,Netherlands,3
2019,Movie,TV-MA,Comedies, International Movies, LGBTQ Movies,Thailand,0
2016,Movie,TV-14,Dramas, Independent Movies, International Movies,India,0
2008,TV Show,TV-14,Anime Series, International TV Shows, Romantic TV Shows,Japan,3
2020,Movie,TV-MA,Dramas, International Movies, Sports Movies,India,0
2016,Movie,TV-MA,Dramas, International Movies, Thrillers,Spain,0
2001,Movie,PG-13,Comedies, Dramas, Romantic Movies,United States,2
2015,TV Show,TV-PG,Kids' TV, TV Comedies,0,Canada,3
2016,Movie,NR,Comedies,0,0,United States,1
1990,Movie,R,Action & Adventure, Sci-Fi & Fantasy,0,United States,2
2018,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Spain,3
2015,Movie,PG-13,Action & Adventure,0,0,United States,1
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2007,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2018,TV Show,TV-MA,Classic & Cult TV, Crime TV Shows, International TV Shows,Canada,3
2014,Movie,TV-MA,Movies,0,0,Canada,1
2014,Movie,TV-MA,Movies,0,0,Canada,1
2009,Movie,R,Comedies, Cult Movies,0,Canada,1
2015,Movie,TV-MA,Comedies, International Movies,0,Canada,0
2016,TV Show,TV-MA,International TV Shows, TV Comedies,0,Canada,3
2008,Movie,TV-MA,Comedies, Cult Movies,0,Canada,1
2020,TV Show,TV-MA,TV Comedies,0,0,Canada,3
2006,Movie,R,Comedies, Cult Movies,0,Canada,1
2004,Movie,TV-MA,Movies,0,0,Canada,1
2007,Movie,TV-MA,Horror Movies, International Movies,0,Thailand,0
2016,Movie,TV-MA,Action & Adventure, Horror Movies, International Movies,South Korea,0
1996,Movie,R,Comedies, Cult Movies, Dramas,United Kingdom,2
2008,Movie,PG-13,Dramas, Thrillers,0,United States,1
2019,TV Show,TV-MA,British TV Shows, International TV Shows, TV Dramas,United Kingdom,3
2017,Movie,TV-MA,Dramas, Independent Movies, Romantic Movies,United States,1
2014,Movie,PG-13,Sci-Fi & Fantasy, Thrillers,0,United Kingdom,1
2017,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy,France,3
2017,Movie,TV-MA,Documentaries, LGBTQ Movies,0,Canada,1
2013,TV Show,TV-Y7,Kids' TV,0,0,United States,3
2020,TV Show,TV-Y,Kids' TV,0,0,United States,3
2016,TV Show,TV-Y7,Kids' TV,0,0,Canada,3
2016,TV Show,TV-Y7,Kids' TV,0,0,United States,3
2020,TV Show,TV-14,Anime Series,0,0,United States,3
2014,Movie,R,Dramas, Independent Movies, Thrillers,United Kingdom,0
2016,Movie,R,Comedies, Dramas, Independent Movies,United States,1
2018,Movie,TV-MA,Comedies, International Movies,0,Turkey,0
2018,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Canada,3
2019,Movie,TV-MA,Documentaries, Music & Musicals,0,United States,1
2018,TV Show,TV-Y,Kids' TV, TV Thrillers,0,South Korea,3
1990,Movie,PG-13,Comedies, Cult Movies, Horror Movies,United States,2
2001,Movie,PG,Comedies, Horror Movies, Sci-Fi & Fantasy,United States,2
2004,Movie,PG-13,Comedies, Horror Movies, Sci-Fi & Fantasy,United States,1
2015,Movie,PG-13,Comedies, Horror Movies, Sci-Fi & Fantasy,South Africa,0
2018,Movie,PG-13,Action & Adventure, Comedies, Horror Movies,United States,1
2020,Movie,PG-13,Action & Adventure, Horror Movies,0,United States,1
2016,Movie,R,Dramas,0,0,United Kingdom,1
2017,Movie,TV-14,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
1985,Movie,TV-14,Comedies, Dramas, Independent Movies,India,2
1995,Movie,TV-PG,Action & Adventure, Dramas, International Movies,India,2
2020,TV Show,TV-MA,TV Dramas, Teen TV Shows,0,United States,3
2014,Movie,TV-MA,International Movies, Thrillers,0,India,0
2016,Movie,R,Dramas, Thrillers,0,United States,1
2019,Movie,R,Action & Adventure,0,0,United States,1
2019,Movie,R,Action & Adventure, International Movies,0,Thailand,0
1991,Movie,TV-PG,Dramas, Sports Movies,0,United States,2
2019,Movie,TV-MA,Documentaries, Music & Musicals,0,United States,1
2018,TV Show,TV-Y7,Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy,United States,3
2017,Movie,TV-Y7,Children & Family Movies, Comedies, Music & Musicals,United States,1
2019,TV Show,TV-Y7,Kids' TV, TV Comedies,0,United States,3
2017,TV Show,TV-MA,International TV Shows, TV Dramas,0,Russia,3
2018,TV Show,TV-MA,British TV Shows, International TV Shows, Romantic TV Shows,United Kingdom,3
2017,Movie,TV-MA,Action & Adventure,0,0,United States,1
2018,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2019,TV Show,TV-Y,Kids' TV,0,0,United States,3
1969,Movie,G,Classic Movies, Dramas,0,United States,2
2016,Movie,TV-14,Action & Adventure, Comedies,0,United States,1
2017,Movie,R,Dramas,0,0,United States,1
2020,Movie,TV-Y,Children & Family Movies,0,0,Canada,1
2019,Movie,TV-Y,Children & Family Movies,0,0,Canada,1
2019,Movie,TV-Y,Children & Family Movies,0,0,United States,1
2020,Movie,TV-Y,Movies,0,0,Canada,1
2020,TV Show,TV-Y,Kids' TV,0,0,Canada,3
2019,Movie,TV-Y,Children & Family Movies,0,0,Canada,1
2020,Movie,TV-Y,Children & Family Movies,0,0,Canada,1
2015,Movie,R,Dramas, Independent Movies,0,United States,1
2018,TV Show,TV-14,Docuseries,0,0,United Kingdom,3
2017,Movie,TV-MA,Horror Movies,0,0,United States,1
2016,Movie,TV-14,Comedies, Independent Movies, International Movies,India,0
2019,TV Show,TV-MA,TV Comedies,0,0,United States,3
2010,Movie,R,Comedies, Horror Movies, Independent Movies,Canada,0
2012,Movie,TV-PG,Dramas, Faith & Spirituality, International Movies,India,0
2010,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2019,Movie,TV-PG,Dramas, International Movies,0,Japan,0
2019,Movie,TV-MA,Dramas, International Movies, Romantic Movies,South Korea,0
1944,Movie,TV-14,Classic Movies, Documentaries,0,United States,2
2013,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2016,TV Show,TV-Y7,Kids' TV,0,0,United States,3
2017,Movie,TV-MA,Comedies, International Movies, Romantic Movies,Turkey,0
2019,TV Show,TV-MA,British TV Shows, International TV Shows, TV Comedies,United Kingdom,3
2017,TV Show,TV-14,TV Dramas,0,0,United States,3
2014,Movie,R,Horror Movies,0,0,United States,1
2019,TV Show,TV-PG,Kids' TV,0,0,United States,3
2010,Movie,TV-14,Documentaries, International Movies,0,Japan,0
2019,TV Show,TV-MA,International TV Shows, Romantic TV Shows, TV Dramas,France,3
2020,Movie,TV-MA,International Movies, Thrillers,0,Spain,1
1990,TV Show,TV-14,Classic & Cult TV, Crime TV Shows, TV Dramas,United States,2
2007,Movie,TV-MA,Action & Adventure, International Movies,0,Hong Kong,0
2018,Movie,TV-MA,Horror Movies, Independent Movies, Thrillers,United States,1
2018,TV Show,TV-Y,British TV Shows, Kids' TV,0,United Kingdom,3
2015,Movie,TV-14,Dramas, International Movies,0,India,0
2013,TV Show,TV-14,International TV Shows, Romantic TV Shows, TV Comedies,Taiwan,3
2018,Movie,TV-MA,Thrillers,0,0,United Kingdom,1
2016,Movie,R,Dramas, Independent Movies, Romantic Movies,Canada,0
2019,TV Show,TV-14,TV Horror, Teen TV Shows,0,United States,3
2020,TV Show,TV-G,International TV Shows, Korean TV Shows, Reality TV,South Korea,3
2019,TV Show,TV-MA,International TV Shows, TV Horror, TV Mysteries,India,3
2008,Movie,R,Documentaries, Sports Movies,0,United States,1
2016,Movie,TV-14,International Movies, Thrillers,0,India,0
2020,Movie,TV-MA,Horror Movies, International Movies,0,Philippines,0
2010,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2016,Movie,TV-MA,Dramas, International Movies,0,India,0
2013,Movie,NR,Dramas, International Movies, Thrillers,India,0
2008,Movie,TV-14,Comedies, International Movies, Romantic Movies,India,0
2020,TV Show,TV-MA,Docuseries,0,0,United States,3
2015,TV Show,TV-14,International TV Shows, Romantic TV Shows, TV Dramas,Thailand,3
1959,Movie,TV-14,Dramas, International Movies,0,India,2
2018,TV Show,TV-PG,Reality TV,0,0,United States,3
2019,TV Show,TV-14,Anime Series, International TV Shows,0,United States,3
2019,TV Show,TV-14,Anime Series, International TV Shows,0,Japan,3
2020,Movie,TV-MA,Dramas, International Movies, Sports Movies,Italy,0
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Poland,3
2020,Movie,TV-MA,Comedies, Dramas, Independent Movies,India,0
2015,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2015,Movie,TV-MA,Comedies, Dramas, International Movies,France,0
2016,Movie,R,Dramas, International Movies,0,United Kingdom,0
2018,TV Show,TV-MA,Crime TV Shows, Docuseries,0,Canada,3
2006,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Spain,3
2019,TV Show,TV-MA,Crime TV Shows, TV Dramas,0,United States,3
2019,TV Show,TV-14,TV Comedies,0,0,United States,3
2020,Movie,TV-14,Comedies,0,0,United States,1
2018,Movie,TV-MA,International Movies, Thrillers,0,Spain,1
2017,Movie,TV-MA,Dramas, International Movies,0,Spain,0
2016,Movie,TV-MA,Documentaries, Sports Movies,0,United States,1
2019,Movie,TV-14,Comedies, International Movies,0,United Arab Emirates,0
2020,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2019,Movie,TV-MA,Dramas, International Movies,0,South Africa,0
2019,Movie,R,Dramas, Thrillers,0,United States,1
2011,Movie,PG-13,Documentaries, Sports Movies,0,United States,1
2017,Movie,TV-14,Action & Adventure, Documentaries, Sports Movies,United States,1
2016,TV Show,TV-14,International TV Shows, Korean TV Shows, TV Dramas,South Korea,3
2007,Movie,TV-MA,Dramas, Independent Movies, International Movies,France,0
2018,Movie,TV-MA,Comedies, Independent Movies, Romantic Movies,United States,1
2020,Movie,TV-MA,Comedies, International Movies, Romantic Movies,Italy,0
2016,Movie,PG-13,Horror Movies, International Movies, Thrillers,United Kingdom,0
2013,Movie,R,Dramas, Independent Movies, International Movies,Switzerland,0
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Action & Adventure,Belgium,3
2019,Movie,R,Comedies,0,0,United States,1
2016,Movie,PG-13,Action & Adventure, Children & Family Movies, Comedies,Canada,0
2017,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Colombia,3
2013,Movie,PG,Children & Family Movies, Sports Movies,0,Argentina,1
2017,Movie,TV-14,Comedies, International Movies, Romantic Movies,Philippines,0
